S No.,Value Date,Transaction Date,Cheque Number,Transaction Remarks,Withdrawal Amount (INR ),Deposit Amount (INR ),Balance (INR )
80,26-03-2026,26-03-2026,BR0800214137,RAZORPAY SETTLEMENT ICIC260323358586,0.00,"38,829.40","22,37,272.72"
81,26-03-2026,26-03-2026,BR1233307842,IMPS/P2A/IC1C2603220/RAZORPAY/SETTL,0.00,"32,272.05","22,69,544.77"
82,26-03-2026,26-03-2026,BR1331052552,RAZORPAY SETTLEMENT ICIC260321573298,0.00,"1,954.18","22,71,498.95"
83,26-03-2026,26-03-2026,BR1572126677,NEFT-HDFC26032094-RAZORPAY SOFTWARE PVT,0.00,"9,748.50","22,81,247.45"
84,26-03-2026,26-03-2026,BR2562650953,RAZORPAY SETTLEMENT KKBK260320798821,0.00,"20,294.50","23,01,541.95"
85,26-03-2026,26-03-2026,BR3225789136,RAZORPAY SETTLEMENT KKBK260320298836,0.00,"2,485.34","23,04,027.29"
86,26-03-2026,26-03-2026,BR3244948455,IMPS/P2A/HDFC2603214/RAZORPAY/SETTL,0.00,"22,367.39","23,26,394.68"
87,26-03-2026,26-03-2026,BR3585474959,RAZORPAY SETTLEMENT SBIN260323188720,0.00,"8,003.05","23,34,397.73"
88,27-03-2026,27-03-2026,BR1573966774,RAZORPAY SETTLEMENT SBIN260325536505,0.00,"8,594.24","23,42,991.97"
89,27-03-2026,27-03-2026,BR3563039129,RAZORPAY SETTLEMENT UTIB260325529561,0.00,"31,533.87","23,74,525.84"
90,27-03-2026,27-03-2026,BR4180439736-STALE,RAZORPAY SETTLEMENT UTIB260325488567,0.00,"50,848.68","24,25,374.52"
91,27-03-2026,27-03-2026,BR6269259509,RAZORPAY SETTLEMENT ICIC260324314493,0.00,"68,843.11","24,94,217.63"
92,27-03-2026,27-03-2026,BR7103999365,RAZORPAY SETTLEMENT UTIB260323003598,0.00,"1,000.00","24,95,217.63"
93,26-03-2026,28-03-2026,BR4167583550,RAZORPAY SETTLEMENT HDFC260320228212,0.00,"10,997.00","25,06,214.63"
94,27-03-2026,28-03-2026,BR6987403101,ACH C- RAZORPAY-SETTLEMENT-ICIC26032,0.00,"17,367.58","25,23,582.21"
95,27-03-2026,28-03-2026,BR8646020873,TRF FROM RAZORPAY REF ICIC260325101043 CR,0.00,"94,679.21","26,18,261.42"
96,28-03-2026,28-03-2026,BR4180439736-REV,REV/RETURN NEFT UTIB260325488567 BENEFICIARY,"50,848.68",0.00,"25,67,412.74"
97,29-03-2026,29-03-2026,BR4180439736-RE,RE-SETL RAZORPAY UTIB260325488567,0.00,"50,848.68","26,18,261.42"
98,30-03-2026,30-03-2026,BR2641712184,BY TRANSFER-NEFT*ICIC2603250*RZP,0.00,"22,850.96","26,41,112.38"
99,30-03-2026,30-03-2026,BR2669960167,ACH C- RAZORPAY-SETTLEMENT-ICIC26032616,0.00,"8,449.00","26,49,561.38"
100,30-03-2026,30-03-2026,BR8676252785,RAZORPAY SETTLEMENT SBIN260326562469,0.00,"5,846.80","26,55,408.18"
101,30-03-2026,30-03-2026,ORP00001,PAYU SETTLEMENT 364414884050,0.00,"38,160.22","26,93,568.40"
102,31-03-2026,31-03-2026,BR3829713657,RAZORPAY SETTLEMENT ICIC260327338560,0.00,"30,166.15","27,23,734.55"
103,31-03-2026,31-03-2026,BR7067191923,RAZORPAY SETTLEMENT SBIN260327254096,0.00,"5,864.50","27,29,599.05"
104,30-03-2026,01-04-2026,BR2855489239,RAZORPAY SETTLEMENT UTIB260326959376,0.00,"22,641.86","27,52,240.91"
105,01-04-2026,01-04-2026,BR0291984476,MB/SBIN260327614043/RAZORPAYSOFT/PAYOUT,0.00,"15,842.10","27,68,083.01"
106,01-04-2026,01-04-2026,BR5684233773,RAZORPAY SETTLEMENT KKBK260330501276,0.00,"2,931.76","27,71,014.77"
107,01-04-2026,01-04-2026,BR6597315945,RAZORPAY SETTLEMENT HDFC260330721651,0.00,"63,893.19","28,34,907.96"
108,01-04-2026,01-04-2026,ORP00000,PAYU SETTLEMENT 356240633023,0.00,"51,639.00","28,86,546.96"
109,31-03-2026,02-04-2026,BR4076633271,RAZORPAY SETTLEMENT SBIN260327836793,0.00,"12,918.55","28,99,465.51"
110,02-04-2026,02-04-2026,BR8682315533,RAZORPAY SETTLEMENT UTIB260330939120,0.00,"4,972.45","29,04,437.96"
111,04-04-2026,04-04-2026,ORP00014,GST REFUND ORDER 248426363267,0.00,"38,444.00","29,42,881.96"
112,06-04-2026,06-04-2026,ORP00013,NEFT CR-833944995191-DIRECT CUSTOMER,0.00,"10,057.43","29,52,939.39"
113,07-04-2026,07-04-2026,ORP00010,PAYU SETTLEMENT 961061696491,0.00,"32,367.00","29,85,306.39"
