entry_id,booked_on,kind,order_ref,expected_amount_inr,memo
INV-MZBSTDUQ,2026-03-04,receivable,order_mzbstduql3yedb,"7,810.22",INV INV-MZBSTDUQ domestic sale
INV-N3JVIL2T,2026-03-04,receivable,order_n3jvil2t2d1lzo,"2,440.02",INV INV-N3JVIL2T domestic sale
INV-O0IZP84I,2026-03-04,receivable,order_o0izp84i6pmfgb,"3,431.52",INV INV-O0IZP84I USD 42.00 @ 83.6777
INV-O5OAH6ZD,2026-03-04,receivable,order_o5oah6zdkora7t,"1,268.34",INV INV-O5OAH6ZD domestic sale
INV-Q4Q3PF4G,2026-03-04,receivable,order_q4q3pf4g5bkwsb,"5,368.74",INV INV-Q4Q3PF4G domestic sale
INV-QE9HPVYE,2026-03-04,receivable,order_qe9hpvye4ncpwm,"3,415.45",INV INV-QE9HPVYE domestic sale
INV-QVNIA57K,2026-03-04,receivable,,"1,951.82",INV INV-QVNIA57K domestic sale
INV-RES6ZA98,2026-03-04,receivable,order_res6za98vazwap,"2,928.22",INV INV-RES6ZA98 domestic sale
INV-S0R34I1I,2026-03-04,receivable,order_s0r34i1ixq4c6k,"3,416.42",INV INV-S0R34I1I domestic sale
INV-SQLS1MEG,2026-03-04,receivable,order_sqls1megzr7hzo,"4,880.05",INV INV-SQLS1MEG domestic sale
INV-T5YNGO6B,2026-03-04,receivable,order_t5yngo6bu9o4nv,"2,429.59",INV INV-T5YNGO6B USD 30.00 @ 82.9443
INV-V42ARAD3,2026-03-04,receivable,order_v42arad3pvqmhm,"4,881.02",INV INV-V42ARAD3 domestic sale
INV-VQXWVR7F,2026-03-04,receivable,order_vqxwvr7fta20d0,975.42,INV INV-VQXWVR7F domestic sale
INV-X6L0SX3D,2026-03-04,receivable,,"15,620.45",INV INV-X6L0SX3D domestic sale
INV-XLQTPQ49,2026-03-04,receivable,order_xlqtpq4904kcir,"2,416.82",INV INV-XLQTPQ49 USD 30.00 @ 82.5077
INV-YJINSYC0,2026-03-04,receivable,,"1,463.62",INV INV-YJINSYC0 domestic sale
INV-ZENHQK56,2026-03-04,receivable,order_zenhqk56g98n58,972.11,INV INV-ZENHQK56 USD 12.00 @ 82.9668
INV-ZJDBQ8PJ,2026-03-04,receivable,order_zjdbq8pj9q3c42,"10,250.25",INV INV-ZJDBQ8PJ domestic sale
CRN-6U89NDHX,2026-03-05,refund,,"-4,624.25",Credit note against INV-VP53CQNB
CRN-L2D7DHM8,2026-03-05,refund,,"-5,498.50",Credit note against INV-Q4Q3PF4G
INV-0BLE86FV,2026-03-05,receivable,order_0ble86fvubo0xk,"6,344.65",INV INV-0BLE86FV domestic sale
INV-0FT7AJRN,2026-03-05,receivable,order_0ft7ajrnqf2u5e,"5,857.42",INV INV-0FT7AJRN domestic sale
INV-1SBKLWR7,2026-03-05,receivable,,"2,928.22",INV INV-1SBKLWR7 domestic sale
INV-4A2C3WA6,2026-03-05,receivable,,"2,440.02",INV INV-4A2C3WA6 domestic sale
INV-4BVJFQHM,2026-03-05,receivable,order_4bvjfqhmtp77b9,"6,090.02",INV INV-4BVJFQHM USD 75.00 @ 83.1629
INV-8JH6Q4W2,2026-03-05,receivable,order_8jh6q4w2lf1quy,"1,951.82",INV INV-8JH6Q4W2 domestic sale
INV-8R3RF9E6,2026-03-05,receivable,order_8r3rf9e69uwf80,"3,416.42",INV INV-8R3RF9E6 domestic sale
INV-BAILTNZU,2026-03-05,receivable,,"4,392.82",INV INV-BAILTNZU domestic sale
INV-DLVVJ0MI,2026-03-05,receivable,,"5,368.74",INV INV-DLVVJ0MI domestic sale
INV-F7R2J6H6,2026-03-05,receivable,,"9,763.02",INV INV-F7R2J6H6 domestic sale
INV-GGDBPA97,2026-03-05,receivable,order_ggdbpa97ci2k0y,"1,951.82",INV INV-GGDBPA97 domestic sale
INV-GIFYAZHB,2026-03-05,receivable,,"2,341.90",INV INV-GIFYAZHB domestic sale
INV-GJ0Z6OC3,2026-03-05,receivable,,"11,714.85",INV INV-GJ0Z6OC3 domestic sale
INV-GYPXD6AI,2026-03-05,receivable,order_gypxd6aiohdy9m,"5,857.42",INV INV-GYPXD6AI domestic sale
INV-HBZZGBUL,2026-03-05,receivable,,"4,881.02",INV INV-HBZZGBUL domestic sale
INV-HLD38MH5,2026-03-05,receivable,order_hld38mh596gs40,"1,755.57",INV INV-HLD38MH5 domestic sale
INV-JWWZODOT,2026-03-05,receivable,order_jwwzodoteo9f4k,"5,857.42",INV INV-JWWZODOT domestic sale
INV-LCIASHZQ,2026-03-05,receivable,order_lciashzqgg996e,"3,660.04",INV INV-LCIASHZQ domestic sale
INV-LHZ1KBMT,2026-03-05,receivable,,"2,830.10",INV INV-LHZ1KBMT domestic sale
INV-M8UIU4NP,2026-03-05,receivable,order_m8uiu4npu9wgul,"5,857.42",INV INV-M8UIU4NP domestic sale
INV-NJSA7IEU,2026-03-05,receivable,order_njsa7ieue3ps5o,487.22,INV INV-NJSA7IEU domestic sale
INV-OFWXPEX7,2026-03-05,receivable,order_ofwxpex73fk6f9,"3,416.42",INV INV-OFWXPEX7 domestic sale
INV-OJAXUMXP,2026-03-05,receivable,,975.42,INV INV-OJAXUMXP domestic sale
INV-PFRRN2J8,2026-03-05,receivable,,"6,345.14",INV INV-PFRRN2J8 domestic sale
INV-PPBU8OZI,2026-03-05,receivable,,"2,928.22",INV INV-PPBU8OZI domestic sale
INV-Q9H2GMEO,2026-03-05,receivable,order_q9h2gmeomjn79p,487.22,INV INV-Q9H2GMEO domestic sale
INV-S8N0RTUH,2026-03-05,receivable,,"7,809.25",INV INV-S8N0RTUH domestic sale
INV-SX3SO8HY,2026-03-05,receivable,order_sx3so8hyo1e9mc,"2,928.22",INV INV-SX3SO8HY domestic sale
INV-T78PHTP3,2026-03-05,receivable,order_t78phtp37wctet,"3,903.65",INV INV-T78PHTP3 domestic sale
INV-U7T7QSKQ,2026-03-05,receivable,order_u7t7qskq7ramhw,"3,660.04",INV INV-U7T7QSKQ domestic sale
INV-UI8SQ3ZM,2026-03-05,receivable,,"2,440.02",INV INV-UI8SQ3ZM domestic sale
INV-UVQ4Q5PQ,2026-03-05,receivable,,"4,392.82",INV INV-UVQ4Q5PQ domestic sale
INV-VD8D20LY,2026-03-05,receivable,,"2,928.22",INV INV-VD8D20LY domestic sale
INV-Y8S9Z7AT,2026-03-05,receivable,order_y8s9z7atts119e,"7,774.49",INV INV-Y8S9Z7AT USD 96.00 @ 82.9419
INV-YXFC3FFW,2026-03-05,receivable,,"2,440.02",INV INV-YXFC3FFW domestic sale
INV-Z8H1KJ3V,2026-03-05,receivable,order_z8h1kj3v45vhat,"11,226.65",INV INV-Z8H1KJ3V domestic sale
INV-ZVJPSNUD,2026-03-05,receivable,order_zvjpsnudp9os13,"3,416.42",INV INV-ZVJPSNUD domestic sale
TDS-0J0QNJ7K,2026-03-05,tds,,-9.99,Withholding accrual @ 1.00% on batch 0qnj7k
TDS-PXTOMQA0,2026-03-05,tds,,-99.99,Withholding accrual @ 1.00% on batch tomqa0
CRN-6TY744WV,2026-03-06,refund,,"-3,748.50",Credit note against INV-LCIASHZQ
CRN-FHQJN6MA,2026-03-06,refund,,-649.50,Credit note against INV-H8TAZFC7
CRN-JYO01RT0,2026-03-06,refund,,"-7,498.00",Credit note against INV-3ONWCBRR
CRN-T822937C,2026-03-06,refund,,-124.75,Credit note against INV-NUIZXD7C
CRN-VOSFO0W6,2026-03-06,refund,,"-4,249.25",Credit note against INV-O4MXS3HK
CRN-YGRET43N,2026-03-06,refund,,"-91,516.25",Credit note against INV-6O3I8WQJ
INV-08A2ZZ7A,2026-03-06,receivable,order_08a2zz7a67nopp,"2,927.25",INV INV-08A2ZZ7A domestic sale
INV-0GLBKN88,2026-03-06,receivable,,"7,810.22",INV INV-0GLBKN88 domestic sale
INV-0JIALWOD,2026-03-06,receivable,,974.94,INV INV-0JIALWOD domestic sale
INV-1IG6C621,2026-03-06,receivable,order_1ig6c621gzdk3o,"2,440.02",INV INV-1IG6C621 domestic sale
INV-1V1FFWEC,2026-03-06,receivable,order_1v1ffwecytr15c,"3,380.62",INV INV-1V1FFWEC USD 42.00 @ 82.4367
INV-1VLLN2CH,2026-03-06,receivable,order_1vlln2ch1icbtl,"3,904.14",INV INV-1VLLN2CH domestic sale
INV-2BP7BFRM,2026-03-06,receivable,order_2bp7bfrmc42vou,"6,832.85",INV INV-2BP7BFRM domestic sale
INV-36IBEXTN,2026-03-06,receivable,order_36ibextnzhvpf1,"7,810.22",INV INV-36IBEXTN domestic sale
INV-3OU70GMF,2026-03-06,receivable,,"98,161.76",INV INV-3OU70GMF domestic sale
INV-3WVEDYOG,2026-03-06,receivable,,"4,392.82",INV INV-3WVEDYOG domestic sale
INV-5J7NQ8TY,2026-03-06,receivable,order_5j7nq8tydajd3i,"1,05,524.50",INV INV-5J7NQ8TY domestic sale
INV-68GN2L7M,2026-03-06,receivable,,"7,810.22",INV INV-68GN2L7M domestic sale
INV-6IUOBP6K,2026-03-06,receivable,order_6iuobp6kvzc7dk,975.42,INV INV-6IUOBP6K domestic sale
INV-6J6GPS39,2026-03-06,receivable,order_6j6gps399egzof,"1,268.34",INV INV-6J6GPS39 domestic sale
INV-89PXEV55,2026-03-06,receivable,order_89pxev55ff6z1c,"1,268.34",INV INV-89PXEV55 domestic sale
INV-9WP5AU7F,2026-03-06,receivable,,"2,440.02",INV INV-9WP5AU7F domestic sale
INV-A7BXC1PE,2026-03-06,receivable,,"9,273.85",INV INV-A7BXC1PE domestic sale
INV-CYCUGM26,2026-03-06,receivable,order_cycugm26qlv96g,"9,518.44",INV INV-CYCUGM26 domestic sale
INV-DHWK1CQ5,2026-03-06,receivable,,"1,268.34",INV INV-DHWK1CQ5 domestic sale
INV-EKB87NKX,2026-03-06,receivable,,"4,881.02",INV INV-EKB87NKX domestic sale
INV-FX7I9THG,2026-03-06,receivable,order_fx7i9thgz7hifh,"3,416.42",INV INV-FX7I9THG domestic sale
INV-G9GTSDNX,2026-03-06,receivable,order_g9gtsdnxko5yli,"14,644.05",INV INV-G9GTSDNX domestic sale
INV-H9FUH61Q,2026-03-06,receivable,order_h9fuh61qgvgxpz,"12,203.05",INV INV-H9FUH61Q domestic sale
INV-HLYFU7K2,2026-03-06,receivable,order_hlyfu7k287pda0,"10,738.94",INV INV-HLYFU7K2 domestic sale
INV-HS1LT4C0,2026-03-06,receivable,order_hs1lt4c06x3s35,"19,526.05",INV INV-HS1LT4C0 domestic sale
INV-J8NCEQNG,2026-03-06,receivable,,780.14,INV INV-J8NCEQNG domestic sale
INV-J9SYNJE5,2026-03-06,receivable,,489.34,INV INV-J9SYNJE5 USD 6.00 @ 83.5271
INV-JPZIFRXC,2026-03-06,receivable,,"3,415.45",INV INV-JPZIFRXC domestic sale
INV-JWNRTYG4,2026-03-06,receivable,,"5,368.25",INV INV-JWNRTYG4 domestic sale
INV-KHY7CAUI,2026-03-06,receivable,order_khy7cauiph02y4,"3,416.42",INV INV-KHY7CAUI domestic sale
INV-KNCXE7I6,2026-03-06,receivable,,"4,391.85",INV INV-KNCXE7I6 domestic sale
INV-LAL91FXD,2026-03-06,receivable,order_lal91fxdr8as8d,487.22,INV INV-LAL91FXD domestic sale
INV-LE72QR57,2026-03-06,receivable,order_le72qr57o9z5rv,"5,368.25",INV INV-LE72QR57 domestic sale
INV-LMPGCPNS,2026-03-06,receivable,order_lmpgcpnscbljct,"4,428.14",INV INV-LMPGCPNS USD 54.00 @ 83.9847
INV-LYM44ISN,2026-03-06,receivable,order_lym44isn9ibi7w,"1,951.82",INV INV-LYM44ISN domestic sale
INV-LYTW2UHP,2026-03-06,receivable,order_lytw2uhp3u1nq8,"5,857.42",INV INV-LYTW2UHP domestic sale
INV-M729KRQ4,2026-03-06,receivable,order_m729krq4wts6me,"3,416.42",INV INV-M729KRQ4 domestic sale
INV-M758ZHM4,2026-03-06,receivable,,"3,416.42",INV INV-M758ZHM4 domestic sale
INV-MGRL6E9C,2026-03-06,receivable,,"1,01,346.68",INV INV-MGRL6E9C domestic sale
INV-MI0WOALZ,2026-03-06,receivable,order_mi0woalzgr1mey,"13,667.65",INV INV-MI0WOALZ domestic sale
INV-MQUZD9BE,2026-03-06,receivable,order_mquzd9be0lxurs,"3,416.42",INV INV-MQUZD9BE domestic sale
INV-N4I5ZMZY,2026-03-06,receivable,order_n4i5zmzy52s639,"1,463.62",INV INV-N4I5ZMZY domestic sale
INV-NG8OA7VQ,2026-03-06,receivable,order_ng8oa7vq4qxx5l,"9,763.02",INV INV-NG8OA7VQ domestic sale
INV-NSGBHES9,2026-03-06,receivable,order_nsgbhes9tmsl9z,"3,416.42",INV INV-NSGBHES9 domestic sale
INV-OO17VFZJ,2026-03-06,receivable,order_oo17vfzjux8cg7,487.22,INV INV-OO17VFZJ domestic sale
INV-P58FQ48K,2026-03-06,receivable,,"7,810.22",INV INV-P58FQ48K domestic sale
INV-R8E3TNDF,2026-03-06,receivable,order_r8e3tndfettfyh,780.14,INV INV-R8E3TNDF domestic sale
INV-RQW196FJ,2026-03-06,receivable,,"4,392.82",INV INV-RQW196FJ domestic sale
INV-T7GRC54P,2026-03-06,receivable,order_t7grc54p2f330b,"1,463.62",INV INV-T7GRC54P domestic sale
INV-T89BU151,2026-03-06,receivable,order_t89bu151wwnk25,"2,195.44",INV INV-T89BU151 domestic sale
INV-TWBBTP5I,2026-03-06,receivable,order_twbbtp5imjx2dn,"2,927.25",INV INV-TWBBTP5I domestic sale
INV-U83A4ILU,2026-03-06,receivable,order_u83a4ilu27bpew,"3,416.42",INV INV-U83A4ILU domestic sale
INV-UHGSQRYF,2026-03-06,receivable,,"10,738.45",INV INV-UHGSQRYF domestic sale
INV-UZOFNLA1,2026-03-06,receivable,order_uzofnla1srzcez,"5,368.74",INV INV-UZOFNLA1 domestic sale
INV-VN336C56,2026-03-06,receivable,order_vn336c567dheb4,"5,621.24",INV INV-VN336C56 USD 69.00 @ 83.4364
INV-VQO5X48J,2026-03-06,receivable,,"8,444.40",INV INV-VQO5X48J domestic sale
INV-WP8NXWNS,2026-03-06,receivable,,"1,463.62",INV INV-WP8NXWNS domestic sale
INV-WVI98JX1,2026-03-06,receivable,order_wvi98jx1rkmf2s,780.14,INV INV-WVI98JX1 domestic sale
INV-XPJDZ4FV,2026-03-06,receivable,order_xpjdz4fvgxrd95,"3,416.42",INV INV-XPJDZ4FV domestic sale
INV-XZ8ZTTAR,2026-03-06,receivable,order_xz8zttar3ouar6,"7,810.22",INV INV-XZ8ZTTAR domestic sale
TDS-51167VII,2026-03-06,tds,,-28.74,Withholding accrual @ 1.00% on batch 167vii
TDS-S6DT4T76,2026-03-06,tds,,-144.78,Withholding accrual @ 1.00% on batch dt4t76
TDS-UQLSF8QI,2026-03-06,tds,,-128.88,Withholding accrual @ 1.00% on batch lsf8qi
INV-8ZR4GYK5,2026-03-07,receivable,order_8zr4gyk59myx88,"1,463.62",INV INV-8ZR4GYK5 domestic sale
INV-9J8OYGUM,2026-03-07,receivable,order_9j8oygume741p7,"9,763.02",INV INV-9J8OYGUM domestic sale
INV-BBFHKNBL,2026-03-07,receivable,order_bbfhknblwg4uzj,"4,392.82",INV INV-BBFHKNBL domestic sale
INV-DHVTADUV,2026-03-07,receivable,,"3,415.94",INV INV-DHVTADUV domestic sale
INV-DUEXHI1S,2026-03-07,receivable,,487.22,INV INV-DUEXHI1S domestic sale
INV-E7573TZE,2026-03-07,receivable,,"67,994.96",INV INV-E7573TZE domestic sale
INV-EV99JHCT,2026-03-07,receivable,,"2,440.02",INV INV-EV99JHCT domestic sale
INV-EZ31CKNJ,2026-03-07,receivable,,"5,857.42",INV INV-EZ31CKNJ domestic sale
